"Id","SalePrice"
1461,118327.608873309
1462,156995.313801711
1463,179226.594760425
1464,194563.251279281
1465,198003.693962911
1466,170872.066054378
1467,178854.590379789
1468,162629.237600897
1469,193384.96210145
1470,120945.823403599
1471,198316.721997032
1472,102635.758883892
1473,100861.848501962
1474,147022.330664757
1475,121609.465163299
1476,360200.664914199
1477,240708.784006716
1478,279403.446834857
1479,278172.97514927
1480,512765.986822355
1481,322958.987951235
1482,208613.117505523
1483,178205.968319787
1484,168681.136893562
1485,184289.298335315
1486,195972.88991514
1487,323762.885016353
1488,233472.859743327
1489,194222.972454212
1490,231836.588686169
1491,192703.857072444
1492,90623.2310276992
1493,176654.455556956
1494,276225.997898298
1495,285108.046505522
1496,235459.381268468
1497,194339.806632028
1498,168879.769211965
1499,164428.836031057
1500,159431.129227986
1501,174124.523237247
1502,154780.890630009
1503,266216.046751887
1504,238804.219640414
1505,224648.315770241
1506,196324.050051497
1507,255428.483609814
1508,204600.739800864
1509,158365.234448777
1510,144301.466433223
1511,152112.67127964
1512,178739.560028427
1513,142758.38920888
1514,152029.429726262
1515,197002.384659042
1516,152757.472759481
1517,172999.551460481
1518,134425.200507833
1519,213805.167581126
1520,128824.129103533
1521,129619.702340247
1522,178318.699150187
1523,113324.715880322
1524,125010.018770703
1525,120464.495321842
1526,114971.41584678
1527,109727.505900128
1528,140074.870763991
1529,147458.208022412
1530,182199.200387518
1531,113589.590315974
1532,95504.0237941707
1533,146416.975930028
1534,126904.832915246
1535,148057.120898437
1536,109684.025139252
1537,68189.6255513361
1538,147207.176410634
1539,192521.990754939
1540,93017.8984136474
1541,139128.407290029
1542,141070.401138821
1543,183795.067486895
1544,86849.9262239718
1545,114407.402876922
1546,133369.645837437
1547,124027.85965044
1548,132995.550718859
1549,120687.979310253
1550,131755.926324619
1551,107148.707158397
1552,134485.679204947
1553,142282.952809392
1554,125503.889289616
1555,162402.561725595
1556,87387.8051317985
1557,106389.297347436
1558,104333.225324049
1559,62920.3853754
1560,132315.692332118
1561,126353.931093436
1562,132078.715882806
1563,121958.020454294
1564,165910.512391517
1565,145741.919285039
1566,234247.503415039
1567,79669.5599894093
1568,233221.025138382
1569,134977.509930063
1570,140416.141362696
1571,125468.403108574
1572,144544.532233317
1573,234414.00617125
1574,127032.209371512
1575,229083.83661559
1576,251010.43937092
1577,179578.318932145
1578,146954.277822779
1579,142895.014433803
1580,190529.923859187
1581,153098.411520804
1582,124407.448296257
1583,299087.714541569
1584,222227.987344162
1585,142318.804016717
1586,73027.1734248911
1587,101579.292165869
1588,150172.565787737
1589,102028.562699947
1590,136804.42403339
1591,96950.2899114004
1592,115873.779672206
1593,119792.342096212
1594,125676.03054044
1595,109745.530083347
1596,230401.543977858
1597,193478.351818436
